Titre original,Titre français,URL affiche,Genres,Réalisateur,Photo réal,Acteur/Actrice principal(e),Photo acteur,Année de sortie
Avengers: Endgame,Avengers : Endgame,https://image.tmdb.org/t/p/w500/ulzhLuWrPK07P1YkdWQLZnQh1JL.jpg,"Adventure, Science Fiction, Action",Joe Russo,https://image.tmdb.org/t/p/w185/o0OXjFzL10jCy89iAs7UzzSbyoK.jpg,Robert Downey Jr.,https://image.tmdb.org/t/p/w185/5qHNjhtjMD4YWH3UP0rm4tKwxCL.jpg,2019
Spider-Man: No Way Home,Spider-Man : No Way Home,https://image.tmdb.org/t/p/w500/1g0dhYtq4irTY1GPXvft6k4YLjm.jpg,"Action, Adventure, Science Fiction",Jon Watts,https://image.tmdb.org/t/p/w185/fkXChMX6CUXY1yOxBehAzvaTCl7.jpg,Tom Holland,https://image.tmdb.org/t/p/w185/bBRlrpJm9XkNSg0YT5LCaxqoFMX.jpg,2021
Brooklyn,Brooklyn,https://image.tmdb.org/t/p/w500/cs7W8j5lI7qzRW6tKSj9p1Q0Ze7.jpg,"Romance, Drama, History",John Crowley,https://image.tmdb.org/t/p/w185/2s24bopQ131ZTF3lrBLRFKMHPQG.jpg,Saoirse Ronan,https://image.tmdb.org/t/p/w185/9buDPdqKN9vbnQLLkHEinDtMrCG.jpg,2015
Star Wars: The Last Jedi,Star Wars : Les Derniers Jedi,https://image.tmdb.org/t/p/w500/kOVEVeg59E0wsnXmF9nrh6OmWII.jpg,"Adventure, Action, Science Fiction",Rian Johnson,https://image.tmdb.org/t/p/w185/uPWwvdppeZVKPbYcjXKU8zyuAVh.jpg,Mark Hamill,https://image.tmdb.org/t/p/w185/2ZulC2Ccq1yv3pemusks6Zlfy2s.jpg,2017
Shrek,Shrek,https://image.tmdb.org/t/p/w500/EKERKucZeBrkrR8xLDTkr5FeDc.jpg,"Animation, Comedy, Fantasy, Adventure, Family",Andrew Adamson,https://image.tmdb.org/t/p/w185/qqIAVKAe5LHRbPyZUlptsqlo4Kb.jpg,Mike Myers,https://image.tmdb.org/t/p/w185/gjfDl52Kk02MPgUYFjs9bOy33OY.jpg,2001
Guardians of the Galaxy Vol. 2,Les Gardiens de la Galaxie Vol. 2,https://image.tmdb.org/t/p/w500/y4MBh0EjBlMuOzv9axM4qJlmhzz.jpg,"Science Fiction, Adventure, Action",James Gunn,https://image.tmdb.org/t/p/w185/2kFzvqCGeYBrgbuuvvyGE75d9gM.jpg,Chris Pratt,https://image.tmdb.org/t/p/w185/cRH6HPAQ98PlOwwEvhYO4CM9lwu.jpg,2017
True Romance,True Romance,https://image.tmdb.org/t/p/w500/39lXk6ud6KiJgGbbWI2PUKS7y2.jpg,"Action, Crime, Romance",Tony Scott,https://image.tmdb.org/t/p/w185/5PYRgW97xk9iNVC8dS0seoIliRR.jpg,Christian Slater,https://image.tmdb.org/t/p/w185/6ww3uweEEXMlvtNjTlgBHxLErPF.jpg,1993
Harry Potter and the Philosopher's Stone,Harry Potter à l'école des sorciers,https://image.tmdb.org/t/p/w500/wuMc08IPKEatf9rnMNXvIDxqP4W.jpg,"Adventure, Fantasy",Chris Columbus,https://image.tmdb.org/t/p/w185/yCyEz90NqjEXKZ7HYcEhDXlLlPc.jpg,Daniel Radcliffe,https://image.tmdb.org/t/p/w185/iPg0J9UzAlPj1fLEJNllpW9IhGe.jpg,2001
The Green Mile,La Ligne verte,https://image.tmdb.org/t/p/w500/8VG8fDNiy50H4FedGwdSVUPoaJe.jpg,"Fantasy, Drama, Crime",Frank Darabont,https://image.tmdb.org/t/p/w185/vZ50guP86otYTiBSGfi35GNHWVf.jpg,Tom Hanks,https://image.tmdb.org/t/p/w185/eKF1sGJRrZJbfBG1KirPt1cfNd3.jpg,1999
Schindler's List,La Liste de Schindler,https://image.tmdb.org/t/p/w500/sF1U4EUQS8YHUYjNl3pMGNIQyr0.jpg,"Drama, History, War",Steven Spielberg,https://image.tmdb.org/t/p/w185/tZxcg19YQ3e8fJ0pOs7hjlnmmr6.jpg,Liam Neeson,https://image.tmdb.org/t/p/w185/sRLev3wJioBgun3ZoeAUFpkLy0D.jpg,1993
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","Le Monde de Narnia : Le Lion, la sorcière blanche et l'armoire magique",https://image.tmdb.org/t/p/w500/iREd0rNCjYdf5Ar0vfaW32yrkm.jpg,"Adventure, Family, Fantasy",Andrew Adamson,https://image.tmdb.org/t/p/w185/qqIAVKAe5LHRbPyZUlptsqlo4Kb.jpg,William Moseley,https://image.tmdb.org/t/p/w185/6HTpmCaGhtLEY6OUhRaXYgldb0x.jpg,2005
365 Days: This Day,365 jours : Au lendemain,https://image.tmdb.org/t/p/w500/iLmG3HCXVyqXYbFvUO1rfOeGa3Z.jpg,"Romance, Drama",Barbara Białowąs,https://image.tmdb.org/t/p/w185/vhf5l82ItqfVTwioqlZv1ab0v19.jpg,Anna-Maria Sieklucka,https://image.tmdb.org/t/p/w185/c5Rhg0pewnANvLfx2fDXKTLawTb.jpg,2022
Avatar: The Way of Water,Avatar : La Voie de l'eau,https://image.tmdb.org/t/p/w500/t6HIqrRAclMCA60NsSmeqe9RmNV.jpg,"Science Fiction, Adventure, Action",James Cameron,https://image.tmdb.org/t/p/w185/9NAZnTjBQ9WcXAQEzZpKy4vdQto.jpg,Sam Worthington,https://image.tmdb.org/t/p/w185/mflBcox36s9ZPbsZPVOuhf6axaJ.jpg,2022
The Matrix,Matrix,https://image.tmdb.org/t/p/w500/dXNAPwY7VrqMAo51EKhhCJfaGb5.jpg,"Action, Science Fiction",Lana Wachowski,https://image.tmdb.org/t/p/w185/4nE4ttPQBuw1virOz0LYT08c1Vm.jpg,Keanu Reeves,https://image.tmdb.org/t/p/w185/8RZLOyYGsoRe9p44q3xin9QkMHv.jpg,1999
Batman v Superman: Dawn of Justice,Batman v Superman : L'Aube de la Justice,https://image.tmdb.org/t/p/w500/5UsK3grJvtQrtzEgqNlDljJW96w.jpg,"Action, Adventure, Fantasy",Zack Snyder,https://image.tmdb.org/t/p/w185/iD0GDqkvJXDXiNEZej198hjt3Tt.jpg,Ben Affleck,https://image.tmdb.org/t/p/w185/aTcqu8cI4wMohU17xTdqmXKTGrw.jpg,2016
Gladiator,Gladiator,https://image.tmdb.org/t/p/w500/ty8TGRuvJLPUmAR1H1nRIsgwvim.jpg,"Action, Drama, Adventure",Ridley Scott,https://image.tmdb.org/t/p/w185/zABJmN9opmqD4orWl3KSdCaSo7Q.jpg,Russell Crowe,https://image.tmdb.org/t/p/w185/fbzD4utSGJlsV8XbYMLoMdEZ1Fc.jpg,2000
Pi,Pi,https://image.tmdb.org/t/p/w500/fJA22FjlAW8rzrOw9Mwanl6oTc9.jpg,"Mystery, Drama, Thriller",Darren Aronofsky,https://image.tmdb.org/t/p/w185/tOjz8mVI2HeQBvU6KNjIExMBsXL.jpg,Sean Gullette,https://image.tmdb.org/t/p/w185/wziMZnskBjMe4Nnt1TaIaky3KMv.jpg,1998
Creep,Creep,https://image.tmdb.org/t/p/w500/qn53D574tT0YRyLgirEFHQwGUXw.jpg,"Horror, Thriller",Patrick Brice,https://image.tmdb.org/t/p/w185/8Jf2hG2L0vjvS1SFHI9NO7spbQU.jpg,Mark Duplass,https://image.tmdb.org/t/p/w185/vPSYzIfpKptYGVRH9Ki8X8tU3lo.jpg,2014
Kong: Skull Island,Kong : Skull Island,https://image.tmdb.org/t/p/w500/r2517Vz9EhDhj88qwbDVj8DCRZN.jpg,"Action, Adventure, Fantasy",Jordan Vogt-Roberts,https://image.tmdb.org/t/p/w185/wHySqvxNrI0WEdH3bFPU1nHdY7x.jpg,Tom Hiddleston,https://image.tmdb.org/t/p/w185/mclHxMm8aPlCPKptP67257F5GPo.jpg,2017
Fight Club,Fight Club,https://image.tmdb.org/t/p/w500/pB8BM7pdSp6B6Ih7QZ4DrQ3PmJK.jpg,Drama,David Fincher,https://image.tmdb.org/t/p/w185/tpEczFclQZeKAiCeKZZ0adRvtfz.jpg,Edward Norton,https://image.tmdb.org/t/p/w185/8nytsqL59SFJTVYVrN72k6qkGgJ.jpg,1999
Dark Phoenix,X-Men : Dark Phoenix,https://image.tmdb.org/t/p/w500/cCTJPelKGLhALq3r51A9uMonxKj.jpg,"Science Fiction, Action, Adventure",Simon Kinberg,https://image.tmdb.org/t/p/w185/3xvTvkIaKfU276cpajiAoGjvaaO.jpg,Sophie Turner,https://image.tmdb.org/t/p/w185/8ur4aHFakVCinWk0cvrGO8qAUhv.jpg,2019
Interstellar,Interstellar,https://image.tmdb.org/t/p/w500/gEU2QniE6E77NI6lCU6MxlNBvIx.jpg,"Adventure, Drama, Science Fiction",Christopher Nolan,https://image.tmdb.org/t/p/w185/xuAIuYSmsUzKlUMBFGVZaWsY3DZ.jpg,Matthew McConaughey,https://image.tmdb.org/t/p/w185/lCySuYjhXix3FzQdS4oceDDrXKI.jpg,2014
Sonic the Hedgehog 2,"Sonic 2, le film",https://image.tmdb.org/t/p/w500/6DrHO1jr3qVrViUO6s6kFiAGM7.jpg,"Action, Adventure, Family, Comedy",Jeff Fowler,https://image.tmdb.org/t/p/w185/wExdubFgeBkEUP8MojKPKoOcgdZ.jpg,Ben Schwartz,https://image.tmdb.org/t/p/w185/lJVYjPj0P6uvVxNrTy4xO2645D0.jpg,2022
Balto,"Balto : Chien-loup, héros des neiges",https://image.tmdb.org/t/p/w500/dCVcdb5oxDizqFLz0F7TE60NoC9.jpg,"Family, Animation, Adventure",Simon Wells,https://image.tmdb.org/t/p/w185/1p3DWHCJ8XzfvYRgxlhPnLDAeDy.jpg,Kevin Bacon,https://image.tmdb.org/t/p/w185/rjX2Oz3tCZMfSwOoIAyEhdtXnTE.jpg,1995
Harry Potter and the Goblet of Fire,Harry Potter et la Coupe de feu,https://image.tmdb.org/t/p/w500/fECBtHlr0RB3foNHDiCBXeg9Bv9.jpg,"Adventure, Fantasy",Mike Newell,https://image.tmdb.org/t/p/w185/zeLnvLZtyJaBP1wWceRM7HWkm0E.jpg,Daniel Radcliffe,https://image.tmdb.org/t/p/w185/iPg0J9UzAlPj1fLEJNllpW9IhGe.jpg,2005
Toy Story,Toy Story,https://image.tmdb.org/t/p/w500/uXDfjJbdP4ijW5hWSBrPrlKpxab.jpg,"Animation, Adventure, Family, Comedy",John Lasseter,https://image.tmdb.org/t/p/w185/7EdqiNbr4FRjIhKHyPPdFfEEEFG.jpg,Tom Hanks,https://image.tmdb.org/t/p/w185/eKF1sGJRrZJbfBG1KirPt1cfNd3.jpg,1995
Black Panther,Black Panther,https://image.tmdb.org/t/p/w500/uxzzxijgPIY7slzFvMotPv8wjKA.jpg,"Action, Adventure, Science Fiction",Ryan Coogler,https://image.tmdb.org/t/p/w185/dux4DCDaL6c639DTXGiV7nm1wcN.jpg,Chadwick Boseman,https://image.tmdb.org/t/p/w185/nL16SKfyP1b7Hk6LsuWiqMfbdb8.jpg,2018
Pride & Prejudice,Orgueil et Préjugés,https://image.tmdb.org/t/p/w500/sGjIvtVvTlWnia2zfJfHz81pZ9Q.jpg,"Drama, Romance",Joe Wright,https://image.tmdb.org/t/p/w185/1qA8HudSIwIr7ZdxwfQAgubsDO.jpg,Keira Knightley,https://image.tmdb.org/t/p/w185/bRC1B2VwV0wK3ElciFAK6QZf2wD.jpg,2005
The Lion King,Le Roi lion,https://image.tmdb.org/t/p/w500/sKCr78MXSLixwmZ8DyJLrpMsd15.jpg,"Family, Animation, Drama",Roger Allers,https://image.tmdb.org/t/p/w185/sdFyM5FNcJuMv7knrz6swaIHXIJ.jpg,Matthew Broderick,https://image.tmdb.org/t/p/w185/8jO89WNvQRTFUrgXuIGOiTRwbYg.jpg,1994
Se7en,Seven,https://image.tmdb.org/t/p/w500/191nKfP0ehp3uIvWqgPbFmI4lv9.jpg,"Crime, Mystery, Thriller",David Fincher,https://image.tmdb.org/t/p/w185/tpEczFclQZeKAiCeKZZ0adRvtfz.jpg,Morgan Freeman,https://image.tmdb.org/t/p/w185/jPsLqiYGSofU4s6BjrxnefMfabb.jpg,1995
Harry Potter and the Prisoner of Azkaban,Harry Potter et le Prisonnier d'Azkaban,https://image.tmdb.org/t/p/w500/aWxwnYoe8p2d2fcxOqtvAtJ72Rw.jpg,"Adventure, Fantasy",Alfonso Cuarón,https://image.tmdb.org/t/p/w185/gaHhrzPfxfc3cbQLkDt54gtP3n1.jpg,Daniel Radcliffe,https://image.tmdb.org/t/p/w185/iPg0J9UzAlPj1fLEJNllpW9IhGe.jpg,2004
Spider-Man,Spider-Man,https://image.tmdb.org/t/p/w500/gh4cZbhZxyTbgxQPxD0dOudNPTn.jpg,"Action, Science Fiction",Sam Raimi,https://image.tmdb.org/t/p/w185/8gssvwiPrFRuFRlr5ruKx68k1Jl.jpg,Tobey Maguire,https://image.tmdb.org/t/p/w185/ncF4HivY2W6SQW5dEP3N3I4mfT0.jpg,2002
Star Wars: Episode III - Revenge of the Sith,"Star Wars, épisode III - La Revanche des Sith",https://image.tmdb.org/t/p/w500/xfSAoBEm9MNBjmlNcDYLvLSMlnq.jpg,"Adventure, Action, Science Fiction",George Lucas,https://image.tmdb.org/t/p/w185/mDLDvsx8PaZoEThkBdyaG1JxPdf.jpg,Hayden Christensen,https://image.tmdb.org/t/p/w185/hqEgJYEUvZvL9ytmmiYBbbt63qd.jpg,2005
John Wick: Chapter 4,John Wick : Chapitre 4,https://image.tmdb.org/t/p/w500/vZloFAK7NmvMGKE7VkF5UHaz0I.jpg,"Action, Thriller, Crime",Chad Stahelski,https://image.tmdb.org/t/p/w185/eRCryGwKDH4XqUlrdkERmeBWPo8.jpg,Keanu Reeves,https://image.tmdb.org/t/p/w185/8RZLOyYGsoRe9p44q3xin9QkMHv.jpg,2023
Harry Potter and the Chamber of Secrets,Harry Potter et la Chambre des secrets,https://image.tmdb.org/t/p/w500/sdEOH0992YZ0QSxgXNIGLq1ToUi.jpg,"Adventure, Fantasy",Chris Columbus,https://image.tmdb.org/t/p/w185/yCyEz90NqjEXKZ7HYcEhDXlLlPc.jpg,Daniel Radcliffe,https://image.tmdb.org/t/p/w185/iPg0J9UzAlPj1fLEJNllpW9IhGe.jpg,2002
Oppenheimer,Oppenheimer,https://image.tmdb.org/t/p/w500/8Gxv8gSFCU0XGDykEGv7zR1n2ua.jpg,"Drama, History",Christopher Nolan,https://image.tmdb.org/t/p/w185/xuAIuYSmsUzKlUMBFGVZaWsY3DZ.jpg,Cillian Murphy,https://image.tmdb.org/t/p/w185/llkbyWKwpfowZ6C8peBjIV9jj99.jpg,2023
Avengers: Age of Ultron,Avengers : L'Ère d'Ultron,https://image.tmdb.org/t/p/w500/4ssDuvEDkSArWEdyBl2X5EHvYKU.jpg,"Action, Adventure, Science Fiction",Joss Whedon,https://image.tmdb.org/t/p/w185/mVvpZnKYKSCtkOQixQnOonV5kv3.jpg,Robert Downey Jr.,https://image.tmdb.org/t/p/w185/5qHNjhtjMD4YWH3UP0rm4tKwxCL.jpg,2015
Fast X,Fast & Furious X,https://image.tmdb.org/t/p/w500/fiVW06jE7z9YnO4trhaMEdclSiC.jpg,"Action, Crime, Thriller, Adventure, Mystery",Louis Leterrier,https://image.tmdb.org/t/p/w185/bpqqRRyCLeoAup2OAv1Dtm5C8Tn.jpg,Vin Diesel,https://image.tmdb.org/t/p/w185/nZdVry7lnUkE24PnXakok9okvL4.jpg,2023
Transformers: The Last Knight,Transformers : The Last Knight,https://image.tmdb.org/t/p/w500/s5HQf2Gb3lIO2cRcFwNL9sn1o1o.jpg,"Action, Adventure, Science Fiction",Michael Bay,https://image.tmdb.org/t/p/w185/rkC7lei20x5xlFH4SivAXXBh6uR.jpg,Mark Wahlberg,https://image.tmdb.org/t/p/w185/bTEFpaWd7A6AZVWOqKKBWzKEUe8.jpg,2017
"Monsters, Inc.",Monstres & Cie,https://image.tmdb.org/t/p/w500/qjlbN6aK1qgeg3SspFVovT2D1Me.jpg,"Animation, Comedy, Family",Pete Docter,https://image.tmdb.org/t/p/w185/vITDphkNpSn1LP5gUEheAnlclnl.jpg,John Goodman,https://image.tmdb.org/t/p/w185/yyYqoyKHO7hE1zpgEV2XlqYWcNV.jpg,2001
